 Td        ID        Tj        Df        Dd        Db
485      2615       200        68       217       285
485       359       116        37       332       369
485       626       204        66       215       281
485       627       204        66       215       281
485       628       204        66       215       281
486       630       204        66       216       282
486       847       271        90       125       215
487      2618       200        69       218       287
488      2454       150        50       288       338
488       633       205        67       216       283
488       635       205        67       216       283
489       857       273        92       124       216
489       858       273        92       124       216
489       860       273        92       124       216
489       636       206        67       216       283
489       637       206        67       216       283
491       638       206        67       218       285
491       640       206        67       218       285
491       467       155        51       285       336
493      2458       152        50       291       341
493       470       155        51       287       338
493       362       118        37       338       375
493       867       276        92       125       217
495       642       209        67       219       286
495       643       209        67       219       286
495       874       277        93       125       218
496       644       209        68       219       287
496       645       209        68       219       287
497      2625       204        70       223       293
497      2626       204        70       223       293
499      2461       154        50       295       345
499       471       159        51       289       340
499       473       159        51       289       340
499       474       159        51       289       340
500      2462       154        50       296       346
500      2630       205        71       224       295

Battle result: Loss

Earth army statistics
Total earth soliders: 1525
Total earth tanks: 0
Total earth gunnery: 0
Percentage of destructed earth soliders relative to total soliders: 34.7541%
Percentage of destructed earth tanks relative to total tanks: 0%
Percentage of destructed earth gunnery relative to total gunnery: 0%
Percentage of total destructed units relative to total units: 34.7541%
Average Delay before first being shot: 30.0868
Average time to destruction after first shot: 123.419
Average battle time: 153.506
Df/Db percentage: 19.5998 %
Dd/Db percentage: 80.4002%

Alien army statistics
Total alien soliders: 1525
Total alien drones: 0
Total alien monsters: 0
Percentage of destructed alien soliders relative to total soliders: 34.4262%
Percentage of destructed alien drones relative to total drones: 0%
Percentage of destructed alien monsters relative to total monsters: 0%
Percentage of total destructed units relative to total units: 34.4262%
Average Delay before first being shot: 29.901
Average time to destruction after first shot: 122.41
Average battle time: 152.31
Df/Db percentage: 19.6316%
